,Rank,Total Score,Max Score,Mean Score,NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
939,16,77919.19999999875,132.20000000000002,74.35038167938934,800,2,8002,Necrozma,Psychic,Steel,Yellow,Prism Armor,,,7.0,1.0,0.0,3.8,460.0,97,157,127,113,109,77,680
342,17,76661.59999999996,131.0,73.15038167938931,289,1,2891,Slaking,Normal,,Brown,Truant,,,3.0,0.0,0.0,2.0,130.5,150,160,100,95,65,100,670
776,18,76242.4,130.6,72.7503816793893,658,2,6582,Greninja,Water,Dark,Blue,Battle Bond,,,7.0,1.0,0.0,1.5,40.0,72,145,67,153,71,132,640
486,19,74565.59999999996,129.0,71.15038167938931,409,1,4091,Rampardos,Rock,,Blue,Mold Breaker,,Sheer Force,4.0,0.0,0.0,1.6,102.5,97,165,60,65,50,58,495
564,19,74565.59999999996,129.0,71.15038167938931,475,2,4752,Mega Gallade,Psychic,Fighting,White,Inner Focus,,,4.0,0.0,1.0,1.6,56.4,68,165,95,65,115,110,618
580,20,73517.59999999996,128.0,70.15038167938931,486,1,4861,Regigigas,Normal,,White,Slow Start,,,4.0,1.0,0.0,3.7,420.0,110,160,110,80,110,100,670
756,20,73517.59999999996,128.0,70.15038167938931,644,1,6441,Zekrom,Dragon,Electric,Black,Terabolt,,,5.0,1.0,0.0,2.9,345.0,100,150,120,120,100,90,680
535,20,73517.59999999996,128.0,70.15038167938931,448,2,4482,Mega Lucario,Fighting,Steel,Blue,Adaptability,,,4.0,0.0,1.0,1.3,57.5,70,145,88,140,70,112,625
425,21,72469.59999999998,127.0,69.15038167938931,359,2,3592,Mega Absol,Dark,,White,Magic Bounce,,,3.0,0.0,1.0,1.2,49.0,65,150,60,115,60,115,565
883,22,69325.59999999998,124.0,66.15038167938931,746,2,7462,Wishiwashi,Water,,Blue,Schooling,,,7.0,0.0,0.0,8.2,78.6,45,140,130,140,135,30,620
455,22,69325.59999999998,124.0,66.15038167938931,383,1,3831,Groudon,Ground,,Red,Drought,,,3.0,1.0,0.0,3.5,950.0,100,150,140,100,90,90,670
441,22,69325.59999999998,124.0,66.15038167938931,373,2,3732,Mega Salamence,Dragon,Flying,Blue,Aerilate,,,3.0,0.0,1.0,1.8,112.6,95,145,130,120,90,120,700
310,23,68277.59999999999,123.0,65.1503816793893,260,2,2602,Mega Swampert,Water,Ground,Blue,Swift Swim,,,3.0,0.0,1.0,1.9,102.0,100,150,110,95,110,70,635
167,24,67229.59999999999,122.0,64.1503816793893,130,2,1302,Mega Gyarados,Water,Dark,Blue,Mold Breaker,,,1.0,0.0,1.0,6.5,305.0,95,155,109,70,130,81,640
445,25,66181.59999999999,121.0,63.15038167938932,376,2,3762,Mega Metagross,Steel,Psychic,Blue,Tough Claws,,,3.0,0.0,1.0,2.5,942.9,80,145,150,105,110,110,700
163,25,66181.59999999999,121.0,63.15038167938932,127,2,1272,Mega Pinsir,Bug,Flying,Brown,Aerilate,,,1.0,0.0,1.0,1.7,59.0,65,155,120,65,90,105,600
933,25,66181.59999999999,121.00000000000001,63.15038167938932,795,1,7951,Pheromosa,Bug,Fighting,White,Beast Boost,,,7.0,1.0,0.0,1.8,25.0,71,137,37,137,37,151,570
758,25,66181.59999999999,121.0,63.15038167938932,645,2,6452,Landorus,Ground,Flying,Brown,Intimidate,,,5.0,1.0,0.0,1.3,68.0,89,145,90,105,80,91,600
452,26,65133.60000000001,120.0,62.15038167938932,381,2,3812,Mega Latios,Dragon,Psychic,Purple,Levitate,,,3.0,1.0,1.0,2.3,70.0,80,130,100,160,120,110,700
670,27,63456.800000000905,118.4,60.550381679389304,567,1,5671,Archeops,Rock,Flying,Yellow,Defeatist,,,5.0,0.0,0.0,1.4,32.0,75,140,65,112,65,110,567
378,28,63037.60000000002,118.0,60.15038167938932,319,2,3192,Mega Sharpedo,Water,Dark,Blue,Strong Jaw,,,3.0,0.0,1.0,2.5,130.3,70,140,70,110,65,105,560
657,28,63037.60000000002,118.0,60.15038167938932,555,4,5554,Darmanitan,Ice,Fire,White,Gorilla Tactics,,Zen Mode,8.0,0.0,0.0,1.7,120.0,105,160,55,30,55,135,540
255,29,61989.60000000001,117.0,59.15038167938932,212,2,2122,Mega Scizor,Bug,Steel,Red,Technician,,,2.0,0.0,1.0,2.0,125.0,70,150,140,65,100,75,600
929,30,61151.19999999905,116.20000000000002,58.35038167938932,791,1,7911,Solgaleo,Psychic,Steel,White,Full Metal Body,,,7.0,1.0,0.0,3.4,230.0,137,137,107,113,89,97,680
548,31,60941.60000000002,116.00000000000001,58.15038167938932,460,2,4602,Mega Abomasnow,Grass,Ice,White,Snow Warning,,,4.0,0.0,1.0,2.7,185.0,90,132,105,132,105,30,594
947,32,60732.00000000091,115.80000000000001,57.95038167938931,806,1,8061,Blacephalon,Fire,Ghost,White,Beast Boost,,,7.0,1.0,0.0,1.8,13.0,53,127,53,151,79,107,570
842,33,59893.60000000002,115.00000000000001,57.15038167938932,716,1,7161,Xerneas,Fairy,,Blue,Fairy Aura,,,6.0,1.0,0.0,3.0,215.0,126,131,95,131,98,99,680
843,33,59893.60000000002,115.00000000000001,57.15038167938932,717,1,7171,Yveltal,Dark,Flying,Red,Dark Aura,,,6.0,1.0,0.0,5.8,203.0,126,131,95,131,98,99,680
950,34,59264.80000000086,114.4,56.55038167938931,809,1,8091,Melmetal,Steel,,Grey,Iron Fist,,,7.0,1.0,0.0,2.5,800.0,135,143,143,80,65,34,600
760,35,58845.60000000002,114.0,56.15038167938931,646,2,6462,Kyurem,Dragon,Ice,Grey,Turboblaze,,,5.0,1.0,0.0,3.6,325.0,125,120,90,170,100,95,700
440,35,58845.60000000002,114.0,56.15038167938932,373,1,3731,Salamence,Dragon,Flying,Blue,Intimidate,,Moxie,3.0,0.0,0.0,1.5,102.6,95,135,80,110,80,100,600
7,35,58845.60000000002,114.0,56.15038167938932,6,2,62,Mega Charizard X,Fire,Dragon,Black,Tough Claws,,,1.0,0.0,1.0,1.7,110.5,78,130,111,130,85,100,634
759,35,58845.60000000002,114.0,56.15038167938932,646,1,6461,Kyurem,Dragon,Ice,Grey,Pressure,,,5.0,1.0,0.0,3.0,325.0,125,130,90,130,90,95,660
721,36,58426.39999999914,113.60000000000001,55.75038167938932,612,1,6121,Haxorus,Dragon,,Yellow,Rivalry,Mold Breaker,Unnerve,5.0,0.0,0.0,1.8,105.5,76,147,90,60,70,97,540
1043,37,57797.60000000002,113.0,55.15038167938932,896,1,8961,Glastrier,Ice,,White,Chilling Neigh,,,8.0,1.0,0.0,2.2,800.0,100,145,130,65,110,30,580
187,38,55911.19999999928,111.2,53.35038167938932,149,1,1491,Dragonite,Dragon,Flying,Brown,Inner Focus,,Multiscale,1.0,0.0,0.0,2.2,210.0,91,134,95,100,100,80,600
444,39,55701.60000000002,111.0,53.15038167938932,376,1,3761,Metagross,Steel,Psychic,Blue,Clear Body,,Light Metal,3.0,0.0,0.0,1.6,550.0,80,135,130,95,90,70,600
294,40,54863.199999999306,110.2,52.35038167938932,248,1,2481,Tyranitar,Rock,Dark,Green,Sand Stream,,Unnerve,2.0,0.0,0.0,2.0,202.0,100,134,110,95,100,61,600
578,41,54653.60000000002,110.0,52.15038167938932,484,1,4841,Palkia,Water,Dragon,Purple,Pressure,,Telepathy,4.0,1.0,0.0,4.2,336.0,90,120,100,150,120,100,680
577,41,54653.60000000002,110.0,52.15038167938932,483,1,4831,Dialga,Steel,Dragon,White,Pressure,,Telepathy,4.0,1.0,0.0,5.4,683.0,100,120,120,150,100,90,680
297,41,54653.60000000002,110.0,52.15038167938932,250,1,2501,Ho-Oh,Fire,Flying,Red,Pressure,,Regenerator,2.0,1.0,0.0,3.8,199.0,106,130,90,110,154,90,680
755,41,54653.60000000002,110.0,52.15038167938932,643,1,6431,Reshiram,Dragon,Fire,White,Turboblaze,,,5.0,1.0,0.0,3.2,330.0,100,120,100,150,120,90,680
383,42,53605.60000000002,109.0,51.15038167938932,323,2,3232,Mega Camerupt,Fire,Ground,Red,Sheer Force,,,3.0,0.0,1.0,2.5,320.5,70,120,100,145,105,20,560
576,42,53605.60000000002,109.0,51.15038167938932,482,1,4821,Azelf,Psychic,,Blue,Levitate,,,4.0,1.0,0.0,0.3,0.3,75,125,70,125,70,115,580
362,43,52557.60000000002,108.0,50.15038167938932,306,2,3062,Mega Aggron,Steel,,Grey,Filter,,,3.0,0.0,1.0,2.2,395.0,70,140,230,60,80,50,630
631,44,51509.60000000002,107.0,49.15038167938932,534,1,5341,Conkeldurr,Fighting,,Brown,Guts,Sheer Force,Iron Fist,5.0,0.0,0.0,1.4,87.0,105,140,95,55,65,45,505
173,44,51509.60000000002,107.0,49.15038167938932,136,1,1361,Flareon,Fire,,Red,Flash Fire,,Guts,1.0,0.0,0.0,0.9,25.0,65,130,60,95,110,65,525
757,44,51509.60000000002,107.0,49.15038167938932,645,1,6451,Landorus,Ground,Flying,Brown,Sand Force,,Sheer Force,5.0,1.0,0.0,1.5,68.0,89,125,90,115,80,101,600
552,44,51509.60000000002,107.0,49.15038167938932,464,1,4641,Rhyperior,Ground,Rock,Grey,Lightning Rod,Solid Rock,Reckless,4.0,0.0,0.0,2.4,282.8,115,140,130,55,55,40,535
19,44,51509.60000000002,107.0,49.15038167938932,15,2,152,Mega Beedrill,Bug,Poison,Yellow,Adaptability,,,1.0,0.0,1.0,1.4,40.5,65,150,40,15,80,145,495
919,45,50461.60000000003,106.00000000000001,48.15038167938932,781,1,7811,Dhelmise,Ghost,Grass,Green,Steelworker,,,7.0,0.0,0.0,3.9,210.0,70,131,100,86,90,40,517
180,46,50461.60000000002,106.0,48.15038167938932,142,2,1422,Mega Aerodactyl,Rock,Flying,Purple,Tough Claws,,,1.0,0.0,1.0,2.1,79.0,80,135,85,70,95,150,615
932,47,50252.000000000495,105.8,47.95038167938931,794,1,7941,Buzzwole,Bug,Fighting,Red,Beast Boost,,,7.0,1.0,0.0,2.4,333.6,107,139,139,53,53,79,570
940,47,50252.000000000495,105.80000000000001,47.95038167938931,800,3,8003,Necrozma,Psychic,Ghost,Blue,Prism Armor,,,7.0,1.0,0.0,4.2,350.0,97,113,109,157,127,77,680
1007,48,50042.399999999216,105.6,47.75038167938932,865,1,8651,Sirfetch'd,Fighting,,White,Steadfast,,Scrappy,8.0,0.0,0.0,0.8,117.0,62,135,95,68,82,65,507
925,49,49413.60000000002,105.0,47.15038167938932,787,1,7871,Tapu Bulu,Grass,Fairy,Red,Grassy Surge,,Telepathy,7.0,1.0,0.0,1.9,45.5,70,130,115,85,95,75,570
515,49,49413.60000000002,105.0,47.15038167938932,430,1,4301,Honchkrow,Dark,Flying,Black,Insomnia,Super Luck,Moxie,4.0,0.0,0.0,0.9,27.3,100,125,52,105,52,71,505
766,50,48365.60000000002,104.0,46.15038167938932,649,1,6491,Genesect,Bug,Steel,Purple,Download,,,5.0,1.0,0.0,1.5,82.5,71,120,95,120,95,99,600
1032,50,48365.60000000002,104.0,46.15038167938932,888,1,8881,Zacian,Fairy,,Blue,Intrepid Sword,,,8.0,1.0,0.0,2.8,110.0,92,130,115,80,115,138,670
429,50,48365.60000000002,104.0,46.15038167938932,362,2,3622,Mega Glalie,Ice,,Grey,Refrigerate,,,3.0,0.0,1.0,2.1,350.2,80,120,80,120,80,100,580
622,50,48365.60000000002,104.0,46.15038167938932,526,1,5261,Gigalith,Rock,,Blue,Sturdy,Sand Stream,Sand Force,5.0,0.0,0.0,1.7,260.0,85,135,130,60,80,25,515
589,50,48365.60000000002,104.0,46.15038167938932,493,1,4931,Arceus,Normal,,White,Multitype,,,4.0,1.0,0.0,3.2,320.0,120,120,120,120,120,120,720
698,50,48365.60000000002,104.0,46.15038167938932,589,1,5891,Escavalier,Bug,Steel,Grey,Swarm,Shell Armor,Overcoat,5.0,0.0,0.0,1.0,33.0,70,135,105,60,105,20,495
530,50,48365.60000000002,104.0,46.15038167938932,445,1,4451,Garchomp,Dragon,Ground,Blue,Sand Veil,,Rough Skin,4.0,0.0,0.0,1.9,95.0,108,130,95,80,85,102,600
1034,50,48365.60000000002,104.0,46.15038167938932,889,1,8891,Zamazanta,Fighting,,Red,Dauntless Shield,,,8.0,1.0,0.0,2.9,210.0,92,130,115,80,115,138,670
582,50,48365.60000000002,104.0,46.15038167938932,487,2,4872,Giratina,Ghost,Dragon,Black,Levitate,,,4.0,1.0,0.0,6.9,650.0,150,120,100,120,100,90,680
1023,50,48365.60000000002,104.0,46.15038167938932,879,1,8791,Copperajah,Steel,,Green,Sheer Force,,Heavy Metal,8.0,0.0,0.0,3.0,650.0,122,130,69,80,69,30,500
1035,50,48365.60000000002,104.0,46.15038167938932,889,2,8892,Zamazanta,Fighting,Steel,Red,Dauntless Shield,,,8.0,1.0,0.0,2.9,785.0,92,130,145,80,145,128,720
513,51,47946.39999999923,103.60000000000001,45.75038167938932,428,2,4282,Mega Lopunny,Normal,Fighting,Brown,Scrappy,,,4.0,0.0,1.0,1.3,28.3,65,136,94,54,96,135,580
261,52,47317.60000000002,103.0,45.15038167938932,217,1,2171,Ursaring,Normal,,Brown,Guts,Quick Feet,Unnerve,2.0,0.0,0.0,1.8,125.8,90,130,75,75,75,55,500
424,52,47317.60000000002,103.0,45.15038167938932,359,1,3591,Absol,Dark,,White,Pressure,Super Luck,Justified,3.0,0.0,0.0,1.2,47.0,65,130,60,75,60,75,465
730,52,47317.60000000002,103.0,45.15038167938932,620,1,6201,Mienshao,Fighting,,Purple,Inner Focus,Regenerator,Reckless,5.0,0.0,0.0,1.4,35.5,65,125,60,95,60,105,510
188,53,47108.00000000037,102.8,44.95038167938931,150,1,1501,Mewtwo,Psychic,,Purple,Pressure,,Unnerve,1.0,1.0,0.0,2.0,122.0,106,110,90,154,90,130,680
596,54,46688.80000000077,102.4,44.55038167938931,500,1,5001,Emboar,Fire,Fighting,Red,Blaze,,Reckless,5.0,0.0,0.0,1.6,150.0,110,123,65,100,65,65,528
943,55,46269.60000000002,102.0,44.15038167938932,802,1,8021,Marshadow,Fighting,Ghost,Grey,Technician,,,7.0,1.0,0.0,0.7,22.2,90,125,80,90,90,125,600
654,55,46269.60000000002,102.0,44.15038167938932,555,1,5551,Darmanitan,Fire,,Red,Sheer Force,,Zen Mode,5.0,0.0,0.0,1.3,92.9,105,140,55,30,55,95,480
626,55,46269.60000000002,102.0,44.15038167938932,530,1,5301,Excadrill,Ground,Steel,Grey,Sand Rush,Sand Force,Mold Breaker,5.0,0.0,0.0,0.7,40.4,110,135,60,50,65,88,508
305,55,46269.60000000002,102.0,44.15038167938932,257,1,2571,Blaziken,Fire,Fighting,Red,Blaze,,Speed Boost,3.0,0.0,0.0,1.9,52.0,80,120,70,110,70,80,530
656,55,46269.60000000002,102.0,44.15038167938932,555,3,5553,Darmanitan,Ice,,White,Gorilla Tactics,,Zen Mode,8.0,0.0,0.0,1.7,120.0,105,140,55,30,55,95,480
561,55,46269.60000000002,102.0,44.15038167938932,473,1,4731,Mamoswine,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,4.0,0.0,0.0,2.5,291.0,110,130,80,70,60,80,530
870,55,46269.60000000002,102.00000000000001,44.15038167938932,740,1,7401,Crabominable,Fighting,Ice,White,Hyper Cutter,Iron Fist,Anger Point,7.0,0.0,0.0,1.7,180.0,97,132,77,62,67,43,478
723,55,46269.60000000002,102.0,44.15038167938932,614,1,6141,Beartic,Ice,,White,Snow Cloak,Slush Rush,Swift Swim,5.0,0.0,0.0,2.6,260.0,95,130,80,70,80,50,505
849,55,46269.60000000002,102.0,44.15038167938932,720,1,7201,Hoopa,Psychic,Ghost,Purple,Magician,,,6.0,1.0,0.0,0.5,9.0,80,110,60,150,130,70,600
930,56,46060.00000000031,101.80000000000001,43.95038167938932,792,1,7921,Lunala,Psychic,Ghost,Purple,Shadow Shield,,,7.0,1.0,0.0,4.0,120.0,137,113,89,137,107,97,680
765,56,46060.00000000031,101.80000000000001,43.95038167938932,648,2,6482,Meloetta,Normal,Fighting,White,Serene Grace,,,5.0,1.0,0.0,0.6,6.5,100,128,90,77,77,128,600
749,57,45850.39999999925,101.60000000000001,43.75038167938932,639,1,6391,Terrakion,Rock,Fighting,Grey,Justified,,,5.0,1.0,0.0,1.9,260.0,91,129,90,72,90,108,580
554,58,45640.80000000075,101.4,43.55038167938931,466,1,4661,Electivire,Electric,,Yellow,Motor Drive,,Vital Spilit,4.0,0.0,0.0,1.8,138.6,75,123,67,95,85,95,540
302,59,45221.60000000002,101.0,43.15038167938932,254,2,2542,Mega Sceptile,Grass,Dragon,Green,Lightning Rod,,,3.0,0.0,1.0,1.9,55.2,70,110,75,145,85,145,630
86,59,45221.60000000002,101.0,43.15038167938932,68,1,681,Machamp,Fighting,,Grey,Guts,No Guard,Steadfast,1.0,0.0,0.0,1.6,130.0,90,130,80,65,85,55,505
753,59,45221.60000000002,101.0,43.15038167938932,642,1,6421,Thundurus,Electric,Flying,Blue,Prankster,,Defiant,5.0,1.0,0.0,1.5,61.0,79,115,70,125,80,111,580
751,59,45221.60000000002,101.0,43.15038167938932,641,1,6411,Tornadus,Flying,,Green,Prankster,,Defiant,5.0,1.0,0.0,1.5,63.0,79,115,70,125,80,111,580
1039,60,44802.39999999926,100.6,42.75038167938932,892,2,8922,Urshifu,Fighting,Water,Grey,Unseen Fist,,,8.0,1.0,0.0,1.9,105.0,100,130,100,63,60,97,550
1038,60,44802.39999999926,100.6,42.75038167938932,892,1,8921,Urshifu,Fighting,Dark,Grey,Unseen Fist,,,8.0,1.0,0.0,1.9,105.0,100,130,100,63,60,97,550
1031,61,44173.60000000002,100.0,42.15038167938932,887,1,8871,Dragapult,Dragon,Ghost,Green,Clear Body,Infiltrator,Cursed Body,8.0,0.0,0.0,3.0,50.0,88,120,75,100,75,142,600
339,61,44173.60000000002,100.0,42.15038167938932,286,1,2861,Breloom,Grass,Fighting,Green,Effect Spore,Poison Heal,Technician,3.0,0.0,0.0,1.2,39.2,60,130,80,60,60,70,460
946,62,43544.80000000071,99.4,41.550381679389304,805,1,8051,Stakataka,Rock,Steel,Grey,Beast Boost,,,7.0,1.0,0.0,5.5,820.0,61,131,211,53,101,13,570
482,63,43125.60000000003,99.0,41.15038167938932,405,1,4051,Luxray,Electric,,Blue,Rivalry,Intimidate,Guts,4.0,0.0,0.0,1.4,42.0,80,120,79,95,79,70,523
254,63,43125.60000000003,99.0,41.15038167938932,212,1,2121,Scizor,Bug,Steel,Red,Swarm,Technician,Light Metal,2.0,0.0,0.0,1.8,118.0,70,130,100,55,80,65,500
392,63,43125.60000000003,99.0,41.15038167938932,332,1,3321,Cacturne,Grass,Dark,Green,Sand Veil,,Water Absorb,3.0,0.0,0.0,1.3,77.4,70,115,60,115,60,55,475
377,63,43125.60000000003,99.0,41.15038167938932,319,1,3191,Sharpedo,Water,Dark,Blue,Rough Skin,,Speed Boost,3.0,0.0,0.0,1.8,88.8,70,120,40,95,40,95,460
1003,63,43125.60000000003,99.0,41.15038167938932,861,1,8611,Grimmsnarl,Dark,Fairy,Purple,Prankster,Frisk,Pickpocket,8.0,0.0,0.0,1.5,61.0,95,120,65,95,75,60,510
8,63,43125.60000000003,99.0,41.15038167938932,6,3,63,Mega Charizard Y,Fire,Flying,Red,Drought,,,1.0,0.0,1.0,1.7,90.5,78,104,78,159,115,100,634
129,64,42077.60000000003,98.0,40.15038167938932,99,1,991,Kingler,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1.0,0.0,0.0,1.3,60.0,55,130,115,50,50,75,475
851,64,42077.60000000003,98.0,40.15038167938932,721,1,7211,Volcanion,Fire,Water,Brown,Watet Absorb,,,6.0,1.0,0.0,1.7,195.0,80,110,120,130,90,70,600
403,64,42077.60000000003,98.0,40.15038167938932,342,1,3421,Crawdaunt,Water,Dark,Red,Hyper Cutter,Shell Armor,Adaptability,3.0,0.0,0.0,1.1,32.8,63,120,85,90,55,55,468
409,64,42077.60000000003,98.0,40.15038167938932,348,1,3481,Armaldo,Rock,Bug,Grey,Battle Armor,,Swift Swim,3.0,0.0,0.0,1.5,68.2,75,125,100,70,80,45,495
793,65,41029.60000000003,97.0,39.15038167938932,675,1,6751,Pangoro,Fighting,Dark,White,Iron Fist,Mold Breaker,Scrappy,6.0,0.0,0.0,2.1,136.0,95,124,78,69,71,58,495
145,65,41029.60000000003,97.0,39.15038167938932,112,1,1121,Rhydon,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1.0,0.0,0.0,1.9,120.0,105,130,120,45,45,40,485
713,65,41029.60000000003,97.0,39.15038167938932,604,1,6041,Eelektross,Electric,,Blue,Levitate,,,5.0,0.0,0.0,2.1,80.5,85,115,80,105,80,50,515
563,65,41029.60000000003,97.0,39.15038167938932,475,1,4751,Gallade,Psychic,Fighting,White,Steadfast,,Justified,4.0,0.0,0.0,1.6,52.0,68,125,65,65,115,80,518
754,65,41029.60000000003,97.0,39.15038167938932,642,2,6422,Thundurus,Electric,Flying,Blue,Volt Absorb,,,5.0,1.0,0.0,3.0,61.0,79,105,70,145,80,101,580
149,66,39981.60000000001,96.0,38.15038167938932,115,2,1152,Mega Kangaskhan,Normal,,Brown,Parental Bond,,,1.0,0.0,1.0,2.2,100.0,105,125,100,60,100,100,590
166,66,39981.60000000001,96.0,38.15038167938932,130,1,1301,Gyarados,Water,Flying,Blue,Intimidate,,Moxie,1.0,0.0,0.0,6.5,235.0,95,125,79,60,100,81,540
735,66,39981.60000000001,96.0,38.15038167938932,625,1,6251,Bisharp,Dark,Steel,Red,Defiant,Inner Focus,Pressure,5.0,0.0,0.0,1.6,70.0,65,125,100,60,70,70,490
953,66,39981.60000000001,96.0,38.15038167938932,812,1,8121,Rillaboom,Grass,,Green,Overgrow,,Grassy Surge,8.0,0.0,0.0,2.1,90.0,100,125,90,60,70,85,530
905,66,39981.60000000001,96.0,38.15038167938932,768,1,7681,Golisopod,Bug,Water,Grey,Emergency Exit,,,7.0,0.0,0.0,2.0,108.0,75,125,140,60,90,40,530
534,67,38933.60000000002,95.0,37.15038167938932,448,1,4481,Lucario,Fighting,Steel,Blue,Steadfast,Inner Focus,Justified,4.0,0.0,0.0,1.2,54.0,70,110,70,115,70,90,525
887,67,38933.60000000002,95.0,37.15038167938932,750,1,7501,Mudsdale,Ground,,Brown,Own Tempo,Stamina,Inner Focus,7.0,0.0,0.0,2.5,920.0,100,125,100,55,85,35,500
863,67,38933.60000000002,95.0,37.15038167938932,733,1,7331,Toucannon,Normal,Flying,Black,Keen Eye,Skill Link,Sheer Force,7.0,0.0,0.0,1.1,26.0,80,120,75,75,75,60,485
162,67,38933.60000000002,95.0,37.15038167938932,127,1,1271,Pinsir,Bug,,Brown,Hyper Cutter,Mold Breaker,Moxie,1.0,0.0,0.0,1.5,55.0,65,125,100,55,70,85,500
250,67,38933.60000000002,95.0,37.15038167938932,208,2,2082,Mega Steelix,Steel,Ground,Grey,Sand Force,,,2.0,0.0,1.0,10.5,740.0,75,125,230,55,95,30,610
897,67,38933.60000000002,95.0,37.15038167938932,760,1,7601,Bewear,Normal,Fighting,Pink,Fluffy,Klutz,Unnerve,7.0,0.0,0.0,2.1,135.0,120,125,80,55,60,60,500
938,67,38933.60000000002,95.00000000000001,37.15038167938932,800,1,8001,Necrozma,Psychic,,Black,Prism Armor,,,7.0,1.0,0.0,2.4,230.0,97,107,101,127,89,79,600
